EventNumberDP,Single Cells_DAFi_CD3. CD45 subset
 0.0,0.0
 0.0,0.0
 0.0,0.0
 0.0,0.0
 0.0,0.0
 6,0
 7,0
 8,1
 0.0,0.0
 10,1
 0.0,0.0
 12,1
 13,1
 14,1
 15,1
 16,1
 17,1
 18,1
 19,0
 0.0,0.0
 0.0,0.0
 22,0
 23,1
 0.0,0.0
 0.0,0.0
 0.0,0.0
 0.0,0.0
 0.0,0.0
 0.0,0.0
 30,1
 31,1
 32,0
 0.0,0.0
 34,1
 0.0,0.0
 0.0,0.0
 0.0,0.0
 0.0,0.0
 39,1
 0.0,0.0
 0.0,0.0
 0.0,0.0
 0.0,0.0
 0.0,0.0
 45,0
 46,0
 0.0,0.0
 48,1
 0.0,0.0
 50,1
 51,1
 0.0,0.0
 0.0,0.0
 54,1
 0.0,0.0
 56,1
 0.0,0.0
 58,1
 0.0,0.0
 0.0,0.0
 0.0,0.0
 0.0,0.0
 0.0,0.0
 64,1
 65,1
 0.0,0.0
 0.0,0.0
 0.0,0.0
 0.0,0.0
 0.0,0.0
 0.0,0.0
 0.0,0.0
 73,0
 0.0,0.0
 0.0,0.0
 0.0,0.0
 0.0,0.0
 0.0,0.0
 0.0,0.0
 80,1
 81,1
 0.0,0.0
 83,1
 0.0,0.0
 0.0,0.0
 86,1
 87,1
 0.0,0.0
 0.0,0.0
 0.0,0.0
 91,0
 0.0,0.0
 0.0,0.0
 0.0,0.0
 0.0,0.0
 96,1
 0.0,0.0
 0.0,0.0
 99,0
 0.0,0.0
 0.0,0.0
 102,1
 0.0,0.0
 104,1
 0.0,0.0
 106,0
 107,1
 0.0,0.0
 109,1
 0.0,0.0
 0.0,0.0
 0.0,0.0
 113,0
 114,1
 0.0,0.0
 116,1
 117,1
 118,1
 0.0,0.0
 0.0,0.0
 0.0,0.0
 122,1
 0.0,0.0
 124,1
 0.0,0.0
 126,0
 0.0,0.0
 128,1
 129,1
 0.0,0.0
 0.0,0.0
 0.0,0.0
 0.0,0.0
 134,1
 0.0,0.0
 0.0,0.0
 0.0,0.0
 0.0,0.0
 0.0,0.0
 0.0,0.0
 0.0,0.0
 142,1
 0.0,0.0
 0.0,0.0
 0.0,0.0
 0.0,0.0
 147,1
 0.0,0.0
 0.0,0.0
 150,1
 151,1
 152,1
 0.0,0.0
 154,1
 0.0,0.0
 0.0,0.0
 0.0,0.0
 158,0
 0.0,0.0
 160,1
