EventNumberDP,DAFi_CD3..CD45.subset,DAFi_CD3negCD45pos
 0.0,0.0,0.0
 0.0,0.0,0.0
 0.0,0.0,0.0
 0.0,0.0,0.0
 0.0,0.0,0.0
 6,1,0
 7,0,1
 8,1,0
 0.0,0.0,0.0
 10,1,0
 0.0,0.0,0.0
 12,1,0
 13,1,0
 14,1,0
 15,1,0
 16,1,0
 17,1,0
 18,1,0
 19,0,0
 0.0,0.0,0.0
 0.0,0.0,0.0
 22,0,1
 23,1,0
 0.0,0.0,0.0
 0.0,0.0,0.0
 0.0,0.0,0.0
 0.0,0.0,0.0
 0.0,0.0,0.0
 0.0,0.0,0.0
 30,1,0
 31,1,0
 32,0,1
 0.0,0.0,0.0
 34,1,0
 0.0,0.0,0.0
 0.0,0.0,0.0
 0.0,0.0,0.0
 0.0,0.0,0.0
 39,1,0
 0.0,0.0,0.0
 0.0,0.0,0.0
 0.0,0.0,0.0
 0.0,0.0,0.0
 0.0,0.0,0.0
 45,0,1
 46,0,1
 0.0,0.0,0.0
 48,1,0
 0.0,0.0,0.0
 50,1,0
 51,1,0
 0.0,0.0,0.0
 0.0,0.0,0.0
 54,1,0
 0.0,0.0,0.0
 56,1,0
 0.0,0.0,0.0
 58,1,0
 0.0,0.0,0.0
 0.0,0.0,0.0
 0.0,0.0,0.0
 0.0,0.0,0.0
 0.0,0.0,0.0
 64,1,0
 65,1,0
 0.0,0.0,0.0
 0.0,0.0,0.0
 0.0,0.0,0.0
 0.0,0.0,0.0
 0.0,0.0,0.0
 0.0,0.0,0.0
 0.0,0.0,0.0
 73,1,0
 0.0,0.0,0.0
 0.0,0.0,0.0
 0.0,0.0,0.0
 0.0,0.0,0.0
 0.0,0.0,0.0
 0.0,0.0,0.0
 80,1,0
 81,1,0
 0.0,0.0,0.0
 83,1,0
 0.0,0.0,0.0
 0.0,0.0,0.0
 86,1,0
 87,1,0
 0.0,0.0,0.0
 0.0,0.0,0.0
 0.0,0.0,0.0
 91,0,1
 0.0,0.0,0.0
 0.0,0.0,0.0
 0.0,0.0,0.0
 0.0,0.0,0.0
 96,1,0
 0.0,0.0,0.0
 0.0,0.0,0.0
 99,0,1
 0.0,0.0,0.0
 0.0,0.0,0.0
 102,1,0
 0.0,0.0,0.0
 104,1,0
 0.0,0.0,0.0
 106,0,1
 107,1,0
 0.0,0.0,0.0
 109,1,0
 0.0,0.0,0.0
 0.0,0.0,0.0
 0.0,0.0,0.0
 113,0,1
 114,1,0
 0.0,0.0,0.0
 116,1,0
 117,1,0
 118,1,0
 0.0,0.0,0.0
 0.0,0.0,0.0
 0.0,0.0,0.0
 122,1,0
 0.0,0.0,0.0
 124,1,0
 0.0,0.0,0.0
 126,0,1
 0.0,0.0,0.0
 128,1,0
 129,1,0
 0.0,0.0,0.0
 0.0,0.0,0.0
 0.0,0.0,0.0
 0.0,0.0,0.0
 134,1,0
 0.0,0.0,0.0
 0.0,0.0,0.0
 0.0,0.0,0.0
 0.0,0.0,0.0
 0.0,0.0,0.0
 0.0,0.0,0.0
 0.0,0.0,0.0
 142,1,0
 0.0,0.0,0.0
 0.0,0.0,0.0
 0.0,0.0,0.0
 0.0,0.0,0.0
 147,1,0
 0.0,0.0,0.0
 0.0,0.0,0.0
 150,1,0
 151,1,0
 152,1,0
 0.0,0.0,0.0
 154,1,0
 0.0,0.0,0.0
 0.0,0.0,0.0
 0.0,0.0,0.0
 158,0,1
 0.0,0.0,0.0
 160,1,0
 0.0,0.0,0.0
 162,1,0
 0.0,0.0,0.0
 164,1,0
 0.0,0.0,0.0
 166,1,0
 0.0,0.0,0.0
 0.0,0.0,0.0
 169,1,0
 0.0,0.0,0.0
 0.0,0.0,0.0
 172,1,0
 0.0,0.0,0.0
 0.0,0.0,0.0
 0.0,0.0,0.0
 0.0,0.0,0.0
 177,1,0
 178,0,1
 179,1,0
 0.0,0.0,0.0
 0.0,0.0,0.0
 0.0,0.0,0.0
 0.0,0.0,0.0
 0.0,0.0,0.0
 185,1,0
 0.0,0.0,0.0
 0.0,0.0,0.0
 0.0,0.0,0.0
 189,1,0
 0.0,0.0,0.0
 191,1,0
 0.0,0.0,0.0
 193,1,0
 194,1,0
 0.0,0.0,0.0
 196,1,0
 0.0,0.0,0.0
 0.0,0.0,0.0
 199,0,1
 200,1,0
 0.0,0.0,0.0
 0.0,0.0,0.0
 203,1,0
 204,1,0
 205,1,0
 0.0,0.0,0.0
 0.0,0.0,0.0
 208,1,0
 0.0,0.0,0.0
 0.0,0.0,0.0
 0.0,0.0,0.0
 0.0,0.0,0.0
 0.0,0.0,0.0
 0.0,0.0,0.0
 0.0,0.0,0.0
 0.0,0.0,0.0
 217,1,0
 218,0,1
 219,1,0
 0.0,0.0,0.0
 0.0,0.0,0.0
 0.0,0.0,0.0
 223,1,0
 0.0,0.0,0.0
 225,1,0
 0.0,0.0,0.0
 227,1,0
 228,1,0
 0.0,0.0,0.0
 0.0,0.0,0.0
 0.0,0.0,0.0
 0.0,0.0,0.0
 0.0,0.0,0.0
 0.0,0.0,0.0
 0.0,0.0,0.0
 0.0,0.0,0.0
 237,1,0
 0.0,0.0,0.0
 0.0,0.0,0.0
 0.0,0.0,0.0
 241,0,1
 0.0,0.0,0.0
 0.0,0.0,0.0
 0.0,0.0,0.0
 245,1,0
 246,1,0
 247,1,0
 0.0,0.0,0.0
 0.0,0.0,0.0
 0.0,0.0,0.0
 0.0,0.0,0.0
 0.0,0.0,0.0
 0.0,0.0,0.0
 0.0,0.0,0.0
 0.0,0.0,0.0
 0.0,0.0,0.0
 0.0,0.0,0.0
 0.0,0.0,0.0
 0.0,0.0,0.0
 0.0,0.0,0.0
 261,1,0
 0.0,0.0,0.0
 0.0,0.0,0.0
 264,1,0
 0.0,0.0,0.0
 0.0,0.0,0.0
 0.0,0.0,0.0
 0.0,0.0,0.0
 269,1,0
 0.0,0.0,0.0
 0.0,0.0,0.0
 272,1,0
 273,0,1
 0.0,0.0,0.0
 0.0,0.0,0.0
 0.0,0.0,0.0
 0.0,0.0,0.0
 278,1,0
 279,0,1
 0.0,0.0,0.0
 0.0,0.0,0.0
 0.0,0.0,0.0
 0.0,0.0,0.0
 284,1,0
 285,1,0
 0.0,0.0,0.0
 0.0,0.0,0.0
 0.0,0.0,0.0
 0.0,0.0,0.0
 0.0,0.0,0.0
 0.0,0.0,0.0
 292,1,0
 0.0,0.0,0.0
 0.0,0.0,0.0
 0.0,0.0,0.0
 296,1,0
 297,1,0
 298,0,1
 299,1,0
 0.0,0.0,0.0
 0.0,0.0,0.0
 0.0,0.0,0.0
 303,0,0
 0.0,0.0,0.0
 305,0,1
 0.0,0.0,0.0
 307,1,0
 0.0,0.0,0.0
 0.0,0.0,0.0
 310,1,0
 311,1,0
 312,0,1
 313,1,0
 0.0,0.0,0.0
 315,1,0
 0.0,0.0,0.0
 0.0,0.0,0.0
 0.0,0.0,0.0
 319,1,0
 320,1,0
 0.0,0.0,0.0
 322,1,0
 323,1,0
 0.0,0.0,0.0
 0.0,0.0,0.0
 326,0,1
 0.0,0.0,0.0
 0.0,0.0,0.0
 329,1,0
 0.0,0.0,0.0
 0.0,0.0,0.0
 0.0,0.0,0.0
 333,1,0
 334,1,0
 0.0,0.0,0.0
 0.0,0.0,0.0
 0.0,0.0,0.0
 338,1,0
 0.0,0.0,0.0
 340,1,0
 0.0,0.0,0.0
 342,1,0
 0.0,0.0,0.0
 0.0,0.0,0.0
 345,1,0
 0.0,0.0,0.0
 0.0,0.0,0.0
 0.0,0.0,0.0
 0.0,0.0,0.0
 350,1,0
 0.0,0.0,0.0
 352,1,0
 0.0,0.0,0.0
 354,1,0
 0.0,0.0,0.0
 356,1,0
 357,1,0
 0.0,0.0,0.0
 0.0,0.0,0.0
 0.0,0.0,0.0
 0.0,0.0,0.0
 0.0,0.0,0.0
 0.0,0.0,0.0
 364,1,0
